id;name;is_configurable;lines_count;config_file;config_file_content_type;firmware_file;firmware_file_content_type;device_type_id
1;Chilean Peso Unidades de fomento Checking Account;true;64241;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
2;Outdoors New York Data;true;67716;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
3;North Carolina Granite;true;54561;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;3
4;Web revolutionize Branding;true;20668;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;4
5;analyzing;false;10077;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;5
6;Books Generic;true;33655;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;6
7;withdrawal;false;84487;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;7
8;Garden open-source hybrid;false;69289;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;8
9;extensible Accountability Handmade Cotton Bacon;true;28203;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;9
10;Table quantify;true;57592;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;10
